old_level	old_phase	old_alias	disposition	new_phase	new_level	new_alias	owner	purpose	oracle	reason
Project	Problem Definition	lifecycle-stage	retained	Problem Definition	Project	lifecycle-stage	Project sponsor	Classify current Project maturity	Cited current evidence places the Project in one named maturity state	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	authoritative-project-source	retained	Problem Definition	Project	authoritative-project-source	Project governance authority	Resolve conflicting Project direction sources	One named source is accepted as controlling and conflicting sources are dispositioned	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	last-problem-event	retained	Problem Definition	Project	last-problem-event	Affected-people representative	Ground the Project problem in a recent event	A dated or identifiable occurrence is recorded from evidence or testimony	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	problem-cost	retained	Problem Definition	Project	problem-cost	Project outcome owner	Quantify consequence of the observed problem	The cited occurrence has a measurable or explicitly bounded consequence	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	problem-frequency	retained	Problem Definition	Project	problem-frequency	Project outcome owner	Establish recurrence of the Project problem	Evidence gives a count, rate, interval, or explicit unknown with collection plan	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	root-cause	retained	Problem Definition	Project	root-cause	Project evidence authority	Select the supported causal explanation	Cited evidence supports the cause and names material competing explanations	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	deeper-cause-test	retained	Problem Definition	Project	deeper-cause-test	Project evidence authority	Define evidence that would reopen root cause	One observable result would falsify sufficiency of the stated cause	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	why-now	retained	Problem Definition	Project	why-now	Project sponsor	Justify present intervention timing	A dated change or constraint explains why action is warranted now	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	riskiest-assumption	retained	Problem Definition	Project	riskiest-assumption	Project risk owner	Select the weakest load-bearing assumption	Assumptions are compared by consequence and evidence strength; one is highest priority	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	material-risk	retained	Problem Definition	Project	material-risk	Project risk owner	Select the highest-consequence Project risk	A named risk has a stated harmed result and consequence basis	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	risk-warning	retained	Problem Definition	Project	risk-warning	Project risk owner	Define the earliest warning for the top risk	A monitorable condition precedes or begins the risk event	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	risk-mitigation	retained	Problem Definition	Project	risk-mitigation	Project risk owner	Choose the primary risk-reduction response	Evidence links one response to reduced likelihood or consequence	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	assumption-test	retained	Problem Definition	Project	assumption-test	Project evidence authority	Choose the least-cost reliable assumption test	The test has a result that supports or rejects the assumption at stated cost/confidence	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	durable-outcome	retained	Problem Definition	Project	durable-outcome	Project sponsor	Separate enduring outcome from current Products and stacks	The outcome remains meaningful under hypothetical Product or Implementation replacement	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	current-baseline	retained	Problem Definition	Project	current-baseline	Project measurement owner	Record the pre-change comparison baseline	A dated measure or observable condition can be compared with later results	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	success-signal	retained	Problem Definition	Project	success-signal	Affected-people representative	Define real-world Project success	A measurable affected-person or consumer change crosses an accepted success condition	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	misleading-success	retained	Problem Definition	Project	misleading-success	Affected-people representative	Guard against technical success without outcome success	A technically compliant result is paired with an observable affected-person failure	Mapped by the accepted literal semantic and domain audit
